,location,total_sqft,bath,price,bhk
1590,Channasandra,1000.0,2.0,35.0,2
1591,Channasandra,1500.0,4.0,89.45,4
1593,Channasandra,1093.0,2.0,37.0,2
1594,Channasandra,1115.0,2.0,35.8,2
1597,Channasandra,830.0,2.0,36.28,2
1598,Channasandra,1200.0,3.0,67.77,3
1599,Channasandra,1195.0,2.0,56.0,3
1600,Channasandra,1175.0,2.0,38.0,2
1601,Channasandra,1200.0,2.0,46.13,2
1602,Channasandra,1065.0,2.0,36.0,2
1603,Channasandra,1050.0,2.0,44.41,2
1604,Channasandra,1010.0,2.0,32.0,2
1605,Chikka Tirupathi,2600.0,5.0,120.0,4
1606,Chikka Tirupathi,2325.0,4.0,120.0,4
1607,Chikka Tirupathi,3297.0,3.0,135.0,3
1608,Chikka Tirupathi,1616.0,3.0,95.0,3
1609,Chikka Tirupathi,2704.0,5.0,105.0,4
1610,Chikka Tirupathi,1555.0,3.0,100.0,3
1611,Chikka Tirupathi,2325.0,4.0,120.0,4
1612,Chikka Tirupathi,3250.0,4.0,136.0,4
1613,Chikka Tirupathi,2153.0,4.0,120.0,3
1614,Chikka Tirupathi,2665.0,5.0,125.0,4
1615,Chikkabanavar,950.0,2.0,40.0,2
1616,Chikkabanavar,1600.0,2.0,80.0,3
1617,Chikkabanavar,2460.0,7.0,80.0,4
1618,Chikkabanavar,1500.0,4.0,105.0,4
1619,Chikkabanavar,2400.0,4.0,97.0,5
1620,Chikkabanavar,2000.0,4.0,65.0,5
1621,Chikkabanavar,1067.0,2.0,38.0,2
1622,Chikkabanavar,1320.0,2.0,46.0,3
1623,Chikkabanavar,4000.0,7.0,110.0,8
1625,Chikkalasandra,1100.0,2.0,50.0,2
1626,Chikkalasandra,1208.0,2.0,49.0,2
1627,Chikkalasandra,875.0,2.0,52.8,2
1629,Chikkalasandra,1070.0,2.0,50.0,2
1630,Chikkalasandra,1230.0,2.0,48.0,2
1631,Chikkalasandra,1428.0,2.0,80.0,3
1632,Chikkalasandra,1070.0,2.0,42.8,2
1636,Chikkalasandra,1075.0,2.0,46.76,2
1639,Chikkalasandra,1070.0,2.0,45.48,2
1640,Chikkalasandra,1100.0,2.0,50.0,2
1643,Chikkalasandra,1224.0,2.0,45.0,2
1644,Chikkalasandra,1090.0,2.0,47.42,2
1647,Chikkalasandra,1325.0,2.0,59.0,2
1648,Chikkalasandra,1290.0,2.0,72.0,2
1651,Choodasandra,1115.0,2.0,50.0,2
1652,Choodasandra,1300.0,2.0,57.0,2
1656,Choodasandra,1197.0,2.0,63.0,2
1658,Choodasandra,1115.0,2.0,50.0,2
1659,Choodasandra,1215.0,2.0,59.0,2
1661,Choodasandra,1580.0,3.0,105.0,3
1662,Choodasandra,725.0,2.0,36.0,2
1664,Choodasandra,1075.0,2.0,45.0,2
1665,Choodasandra,1180.0,2.0,71.22,2
1666,Choodasandra,1140.0,2.0,62.0,2
1669,Choodasandra,1065.0,2.0,46.0,2
1670,Choodasandra,1115.0,2.0,50.0,2
1672,Choodasandra,1115.0,2.0,50.0,2
1673,Cooke Town,565.0,1.0,35.0,1
1674,Cooke Town,2388.0,4.0,239.0,3
1675,Cooke Town,1710.0,2.0,200.0,2
1676,Cooke Town,2560.0,4.0,310.0,3
1677,Cooke Town,2300.0,3.0,250.0,3
1678,Cooke Town,1600.0,3.0,260.0,3
1679,Cox Town,1975.0,3.0,150.0,3
1680,Cox Town,605.0,1.0,29.0,1
1682,Cox Town,1730.0,3.0,140.0,3
1683,Cox Town,1600.0,3.0,150.0,3
1684,Cox Town,1250.0,2.0,95.0,2
1685,Cox Town,1100.0,2.0,166.0,2
1686,Cox Town,1280.0,2.0,120.0,2
1687,Cox Town,1073.0,2.0,72.0,2
1688,Cox Town,1000.0,2.0,58.0,2
1689,Cox Town,1200.0,2.0,140.0,2
1690,Cunningham Road,3875.0,3.0,864.0,3
1691,Cunningham Road,3875.0,3.0,800.0,3
1692,Cunningham Road,3815.0,3.0,763.0,3
1693,Cunningham Road,2880.0,3.0,501.0,3
1694,Cunningham Road,3489.0,3.0,662.0,3
1695,Cunningham Road,4170.0,3.0,800.0,3
1696,Cunningham Road,5108.0,5.0,995.0,4
1697,Cunningham Road,2925.0,5.0,936.0,5
1698,Cunningham Road,2700.0,3.0,501.0,3
1699,Cunningham Road,2880.0,3.0,560.0,3
1700,Dasanapura,965.0,2.0,42.5,2
1701,Dasanapura,708.0,1.0,28.32,1
1702,Dasanapura,814.0,2.0,42.0,2
1703,Dasanapura,1163.0,2.0,65.0,2
1705,Dasanapura,708.0,2.0,31.15,2
1706,Dasanapura,814.0,2.0,53.0,2
1707,Dasanapura,966.0,2.0,58.0,2
1708,Dasanapura,814.0,2.0,43.7,2
1709,Dasarahalli,1295.0,2.0,65.0,2
1711,Dasarahalli,1300.0,2.0,55.0,2
1712,Dasarahalli,1901.0,3.0,119.0,3
1713,Dasarahalli,1150.0,2.0,70.0,2
1714,Dasarahalli,2100.0,3.0,120.0,3
1715,Dasarahalli,1220.0,2.0,52.0,2
1716,Dasarahalli,1375.0,2.0,60.0,2
1717,Dasarahalli,1333.0,2.0,86.65,2
1718,Dasarahalli,1333.0,2.0,78.56,2
1719,Dasarahalli,1220.0,2.0,62.0,2
1720,Dasarahalli,1160.0,2.0,49.0,2
1722,Devanahalli,1282.0,2.0,68.52,3
1727,Devanahalli,2400.0,5.0,100.0,5
1731,Devanahalli,1600.0,3.0,180.0,3
1732,Devanahalli,2400.0,5.0,190.0,4
1733,Devanahalli,1200.0,1.0,95.0,1
1734,Devanahalli,658.0,1.0,34.0,1
1735,Devanahalli,658.0,1.0,26.91,1
1737,Devanahalli,1200.0,3.0,145.0,3
1738,Devanahalli,1498.0,3.0,79.15,3
1739,Devanahalli,1466.0,3.0,77.59,3
1740,Devanahalli,775.0,1.0,39.0,1
1741,Devanahalli,1020.0,2.0,49.87,1
1743,Devanahalli,1550.0,3.0,85.0,3
1746,Devanahalli,2125.0,3.0,107.0,3
1748,Devanahalli,658.0,1.0,26.91,1
1754,Devarachikkanahalli,1250.0,2.0,40.0,2
1755,Devarachikkanahalli,1200.0,2.0,83.0,2
1756,Devarachikkanahalli,1170.0,2.0,40.0,2
1757,Devarachikkanahalli,1230.0,2.0,58.0,2
1759,Devarachikkanahalli,947.0,2.0,43.0,2
1760,Devarachikkanahalli,1130.0,2.0,36.0,2
1761,Devarachikkanahalli,1417.0,2.0,76.0,3
1762,Devarachikkanahalli,1230.0,2.0,58.0,2
1764,Devarachikkanahalli,1116.0,2.0,47.0,2
1765,Devarachikkanahalli,991.0,2.0,40.0,2
1767,Dodda Nekkundi,1260.0,2.0,55.0,2
1768,Dodda Nekkundi,850.0,2.0,28.0,2
1769,Dodda Nekkundi,1390.0,2.0,60.0,2
1770,Dodda Nekkundi,1804.0,3.0,121.0,3
1771,Dodda Nekkundi,1080.0,2.0,50.0,2
1772,Dodda Nekkundi,1999.0,3.0,132.0,3
1773,Dodda Nekkundi,1100.0,2.0,48.0,2
1774,Dodda Nekkundi,1999.0,3.0,135.0,3
1775,Dodda Nekkundi,1100.0,2.0,41.15,2
1776,Dodda Nekkundi,1252.0,2.0,71.0,3
1777,Dodda Nekkundi,1155.0,2.0,46.0,2
1778,Dodda Nekkundi,1128.0,2.0,45.0,2
1779,Dodda Nekkundi,1148.0,2.0,56.0,2
1781,Dodda Nekkundi,1145.0,2.0,46.5,2
1782,Dodda Nekkundi,1829.0,3.0,125.0,3
1783,Dodda Nekkundi,1100.0,2.0,41.16,2
1784,Dodda Nekkundi,1100.0,2.0,46.75,2
1785,Dodda Nekkundi,1315.0,2.0,50.0,2
1786,Dodda Nekkundi,1135.0,2.0,58.0,2
1787,Dodda Nekkundi,1100.0,2.0,41.18,2
1788,Dodda Nekkundi,1370.0,2.0,60.0,2
1789,Dodda Nekkundi,1200.0,2.0,71.0,2
1790,Dodda Nekkundi,1585.0,2.0,79.0,3
1791,Dodda Nekkundi,1005.0,2.0,45.0,2
1792,Dodda Nekkundi,1264.0,2.0,52.0,2
1793,Doddaballapur,2776.0,4.0,195.0,3
1794,Doddaballapur,640.0,1.0,10.5,2
1795,Doddaballapur,2400.0,3.0,250.0,3
1796,Doddaballapur,2440.0,3.0,142.0,3
1797,Doddaballapur,2400.0,3.0,200.0,4
1798,Doddaballapur,654.0,1.0,49.0,1
1799,Doddaballapur,3206.0,5.0,270.0,4
1800,Doddakallasandra,1010.0,2.0,40.39,2
1805,Doddakallasandra,1010.0,2.0,40.39,2
1806,Doddakallasandra,1072.0,2.0,42.87,2
1807,Doddakallasandra,1010.0,2.0,40.4,2
1808,Doddakallasandra,1010.0,2.0,41.0,2
1809,Doddakallasandra,1072.0,2.0,42.87,2
1810,Doddathoguru,970.0,2.0,33.0,2
1811,Doddathoguru,1100.0,2.0,62.0,2
1812,Doddathoguru,1050.0,2.0,32.0,2
1813,Doddathoguru,850.0,2.0,25.0,2
1814,Doddathoguru,1200.0,2.0,75.0,2
1815,Doddathoguru,1030.0,2.0,42.0,2
1817,Doddathoguru,984.0,2.0,51.0,2
1818,Doddathoguru,1015.0,2.0,33.5,2
1819,Doddathoguru,1104.0,2.0,39.0,2
1820,Doddathoguru,915.0,2.0,32.0,2
1821,Doddathoguru,750.0,1.0,25.5,1
1823,Doddathoguru,855.0,2.0,32.0,2
1824,Doddathoguru,1105.0,2.0,50.0,2
1825,Doddathoguru,925.0,2.0,30.0,2
1827,Doddathoguru,1100.0,2.0,50.0,2
1828,Doddathoguru,940.0,2.0,32.9,2
1830,Doddathoguru,1107.0,2.0,44.0,2
1831,Doddathoguru,907.0,2.0,40.0,2
1833,Domlur,1540.0,3.0,90.0,3
1834,Domlur,1875.0,2.0,150.0,3
1835,Domlur,1429.0,3.0,86.0,3
1836,Domlur,1206.0,2.0,217.0,2
1837,Domlur,640.0,1.0,55.0,1
1838,Domlur,1050.0,2.0,85.0,2
1839,Domlur,1800.0,3.0,150.0,3
1840,Domlur,1720.0,3.0,135.0,3
1841,Domlur,1950.0,3.0,165.0,3
1842,Domlur,2180.0,3.0,285.0,3
1843,Domlur,650.0,1.0,70.0,1
1844,Domlur,780.0,1.0,70.0,1
1845,Domlur,2180.0,3.0,285.0,3
1846,Domlur,1740.0,3.0,120.0,3
1847,Domlur,1695.0,3.0,125.0,3
1848,Domlur,1246.0,2.0,95.0,2
1849,Domlur,2100.0,3.0,145.0,3
1850,Domlur,1276.0,2.0,80.0,2
1851,Domlur,1850.0,3.0,180.0,3
1852,Domlur,2955.0,3.0,235.0,3
1853,Domlur,1650.0,3.0,180.0,3
1854,Dommasandra,805.0,2.0,22.14,2
1857,Dommasandra,1200.0,2.0,50.0,2
1859,Dommasandra,1153.0,2.0,43.5,2
1860,Dommasandra,1090.0,2.0,43.5,2
1861,Dommasandra,850.0,2.0,25.4,2
1862,Dommasandra,999.0,2.0,32.9,2
1863,EPIP Zone,1499.0,5.0,102.0,3
1864,EPIP Zone,1285.0,2.0,82.0,2
1865,EPIP Zone,2330.0,3.0,162.0,3
1866,EPIP Zone,1330.0,2.0,92.5,2
1867,EPIP Zone,1330.0,2.0,86.98,2
1868,EPIP Zone,1330.0,2.0,93.36,2
1869,EPIP Zone,2160.0,4.0,172.0,3
1870,EPIP Zone,1500.0,3.0,102.0,3
1871,EPIP Zone,1280.0,2.0,69.0,2
1872,EPIP Zone,1125.0,2.0,65.0,2
1873,EPIP Zone,1734.0,3.0,125.0,3
1874,EPIP Zone,1343.0,2.0,86.0,2
1875,EPIP Zone,2350.0,4.0,163.0,3
1876,EPIP Zone,1860.0,3.0,130.0,3
1877,EPIP Zone,2210.0,3.0,165.0,3
1878,EPIP Zone,3800.0,5.0,170.0,4
1879,EPIP Zone,2710.0,3.0,177.0,3
1881,Electronic City,1025.0,2.0,47.0,3
1893,Electronic City,1200.0,3.0,90.0,3
1897,Electronic City,1800.0,3.0,95.0,3
1898,Electronic City,630.0,1.0,34.65,1
1900,Electronic City,1599.0,3.0,125.0,3
1901,Electronic City,1599.0,3.0,99.0,3
1909,Electronic City,1360.0,2.0,71.0,3
1912,Electronic City,1691.0,2.0,102.0,3
1917,Electronic City,2000.0,4.0,120.0,4
1924,Electronic City,1360.0,2.0,75.0,3
1929,Electronic City,1571.0,3.0,89.0,3
1933,Electronic City,1374.0,2.0,72.0,3
1939,Electronic City,4000.0,5.0,150.0,4
1941,Electronic City,1563.0,3.0,91.84,3
1952,Electronic City,700.0,1.0,35.0,1
1953,Electronic City,1360.0,2.0,70.5,3
1955,Electronic City,1571.0,3.0,105.0,3
1959,Electronic City,1600.0,3.0,104.0,3
1961,Electronic City,1500.0,2.0,100.0,3
1978,Electronic City,1500.0,2.0,78.0,3
1980,Electronic City,1575.0,3.0,90.0,3
1981,Electronic City,1449.0,3.0,100.0,3
1985,Electronic City,1575.0,3.0,101.0,3
1988,Electronic City,1500.0,2.0,78.25,3
1998,Electronic City,1650.0,3.0,100.0,3
2002,Electronic City,1449.0,3.0,90.0,3
2009,Electronic City,2435.0,4.0,119.0,4
2015,Electronic City,1500.0,2.0,78.0,3
2025,Electronic City,2093.0,4.0,104.0,4
2028,Electronic City,1500.0,2.0,77.5,3
2038,Electronic City,605.0,1.0,13.31,1
2043,Electronic City,1571.0,3.0,83.0,3
2046,Electronic City,1652.0,3.0,110.0,3
2052,Electronic City,635.0,1.0,28.0,1
2060,Electronic City,1609.0,3.0,115.0,3
2069,Electronic City,605.0,1.0,22.0,1
2073,Electronic City,1360.0,2.0,70.0,3
2074,Electronic City,635.0,1.0,28.0,1
2084,Electronic City,630.0,1.0,33.7,1
2088,Electronic City,1400.0,3.0,90.0,3
2096,Electronic City,1275.0,3.0,70.0,3
2102,Electronic City,1644.0,3.0,92.59,3
2110,Electronic City,710.0,1.0,40.42,1
2115,Electronic City,1090.0,2.0,31.48,1
2124,Electronic City,1700.0,3.0,90.0,3
2126,Electronic City,750.0,1.0,35.0,1
2133,Electronic City,1615.0,3.0,97.0,3
2144,Electronic City,1575.0,3.0,94.5,3
2150,Electronic City,2093.0,4.0,134.0,4
2155,Electronic City Phase II,1056.0,2.0,39.07,2
2156,Electronic City Phase II,1020.0,2.0,30.6,2
2157,Electronic City Phase II,1069.0,2.0,45.0,2
2159,Electronic City Phase II,1000.0,2.0,25.0,2
2160,Electronic City Phase II,1090.0,2.0,28.34,2
2161,Electronic City Phase II,2225.0,4.0,98.88,4
2163,Electronic City Phase II,1266.0,2.0,59.0,2
2164,Electronic City Phase II,1000.0,2.0,28.88,2
2167,Electronic City Phase II,972.0,2.0,44.0,2
2169,Electronic City Phase II,1031.0,2.0,55.0,2
2170,Electronic City Phase II,1003.0,2.0,40.6,2
2171,Electronic City Phase II,1031.0,2.0,56.35,2
2173,Electronic City Phase II,1205.0,2.0,75.0,2
2174,Electronic City Phase II,1395.0,2.0,62.78,3
2175,Electronic City Phase II,1160.0,2.0,33.5,2
2176,Electronic City Phase II,1065.0,2.0,30.75,2
2177,Electronic City Phase II,1219.0,2.0,61.25,2
2179,Electronic City Phase II,1000.0,2.0,28.88,2
2180,Electronic City Phase II,1790.0,3.0,100.0,3
2182,Electronic City Phase II,900.0,2.0,32.5,2
2185,Electronic City Phase II,993.0,2.0,50.0,3
2187,Electronic City Phase II,1070.0,2.0,45.0,2
2190,Electronic City Phase II,1140.0,2.0,33.06,2
2191,Electronic City Phase II,1031.0,2.0,55.0,2
2192,Electronic City Phase II,1253.0,2.0,65.8,2
2194,Electronic City Phase II,1160.0,2.0,33.5,2
2195,Electronic City Phase II,975.0,2.0,45.0,3
2196,Electronic City Phase II,1116.0,2.0,37.0,2
2197,Electronic City Phase II,1125.0,2.0,29.25,2
2198,Electronic City Phase II,1000.0,2.0,28.88,2
2199,Electronic City Phase II,1000.0,2.0,28.88,2
2200,Electronic City Phase II,1000.0,2.0,28.88,2
2201,Electronic City Phase II,1165.0,2.0,30.29,2
2202,Electronic City Phase II,1031.0,2.0,53.0,2
2204,Electronic City Phase II,1065.0,2.0,30.88,2
2206,Electronic City Phase II,1549.0,3.0,80.0,3
2207,Electronic City Phase II,1065.0,2.0,56.13,2
2209,Electronic City Phase II,920.0,2.0,26.0,2
2210,Electronic City Phase II,1140.0,2.0,33.84,2
2211,Electronic City Phase II,1219.0,2.0,61.26,2
2212,Electronic City Phase II,1252.0,2.0,65.0,3
2213,Electronic City Phase II,1125.0,2.0,32.49,2
2215,Electronic City Phase II,1286.0,2.0,69.0,2
2217,Electronic City Phase II,1140.0,2.0,32.92,2
2218,Electronic City Phase II,1116.0,2.0,40.0,2
2219,Electronic City Phase II,1150.0,3.0,46.0,3
2222,Electronic City Phase II,1020.0,2.0,32.0,2
2223,Electronic City Phase II,1900.0,3.0,97.0,4
2224,Electronic City Phase II,1020.0,2.0,27.43,2
2225,Electronic City Phase II,1025.0,2.0,26.65,2
2226,Electronic City Phase II,1020.0,2.0,29.45,2
2227,Electronic City Phase II,1000.0,2.0,28.88,2
2229,Electronic City Phase II,1140.0,2.0,28.5,2
2230,Electronic City Phase II,1125.0,2.0,32.49,2
2231,Electronic City Phase II,1200.0,2.0,34.65,2
2232,Electronic City Phase II,1160.0,2.0,52.2,2
2233,Electronic City Phase II,1244.0,2.0,55.0,2
2234,Electronic City Phase II,1160.0,2.0,33.51,2
2237,Electronic City Phase II,972.0,2.0,40.0,2
2238,Electronic City Phase II,1160.0,2.0,33.51,2
2240,Electronic City Phase II,1090.0,2.0,31.48,2
2241,Electronic City Phase II,1140.0,2.0,32.92,2
2242,Electronic City Phase II,1155.0,2.0,57.0,2
2243,Electronic City Phase II,1800.0,3.0,92.0,3
2244,Electronic City Phase II,1300.0,2.0,28.0,2
2245,Electronic City Phase II,1160.0,2.0,33.5,2
2246,Electronic City Phase II,1025.0,2.0,29.6,2
2247,Electronic City Phase II,829.0,2.0,22.8,2
2248,Electronic City Phase II,1252.0,2.0,67.0,2
2250,Electronic City Phase II,1125.0,2.0,32.63,2
2251,Electronic City Phase II,1140.0,2.0,34.0,2
2254,Electronic City Phase II,1252.0,2.0,65.0,3
2255,Electronic City Phase II,1135.0,2.0,46.0,2
2256,Electronic City Phase II,1305.0,3.0,65.0,3
2257,Electronic City Phase II,1165.0,2.0,33.64,2
2260,Electronic City Phase II,925.0,2.0,49.82,3
2261,Electronic City Phase II,1065.0,2.0,30.76,2
2262,Electronic City Phase II,1065.0,2.0,30.75,2
2263,Electronic City Phase II,1140.0,2.0,33.06,2
2264,Electronic City Phase II,911.0,2.0,26.5,2
2265,Electronic City Phase II,1200.0,2.0,34.65,2
2266,Electronic City Phase II,1031.0,2.0,54.48,2
2269,Electronics City Phase 1,1070.0,2.0,45.5,2
2270,Electronics City Phase 1,1475.0,3.0,78.29,3
2271,Electronics City Phase 1,1490.0,3.0,78.8,3
2272,Electronics City Phase 1,1113.27,2.0,53.0,2
2273,Electronics City Phase 1,1490.0,3.0,84.0,3
2274,Electronics City Phase 1,1175.0,2.0,51.47,2
2275,Electronics City Phase 1,950.0,2.0,31.0,2
2276,Electronics City Phase 1,1160.0,2.0,52.0,2
2277,Electronics City Phase 1,920.0,2.0,33.0,2
2280,Electronics City Phase 1,940.0,2.0,40.0,2
2281,Electronics City Phase 1,1150.0,2.0,39.0,2
2282,Electronics City Phase 1,1015.0,2.0,56.0,2
2284,Electronics City Phase 1,1515.0,2.0,80.91,3
2285,Electronics City Phase 1,995.0,2.0,46.0,2
2286,Electronics City Phase 1,1555.0,2.0,82.0,3
2287,Electronics City Phase 1,1340.0,2.0,75.0,2
2288,Electronics City Phase 1,1124.0,2.0,55.0,3
2289,Electronics City Phase 1,1175.0,2.0,57.0,2
2290,Electronics City Phase 1,755.0,1.0,42.41,1
2291,Electronics City Phase 1,919.0,2.0,28.0,2
2292,Electronics City Phase 1,950.0,2.0,33.0,2
2293,Electronics City Phase 1,940.0,2.0,49.0,2
2294,Electronics City Phase 1,1335.0,2.0,67.0,2
2295,Electronics City Phase 1,1175.0,2.0,69.0,2
2296,Electronics City Phase 1,1113.12,2.0,55.0,2
2297,Electronics City Phase 1,995.0,2.0,42.0,2
2298,Electronics City Phase 1,1350.0,3.0,71.0,3
2300,Electronics City Phase 1,995.0,2.0,49.8,2
2301,Electronics City Phase 1,1190.0,2.0,68.0,2
2302,Electronics City Phase 1,1085.0,2.0,46.0,2
2304,Electronics City Phase 1,1175.0,2.0,64.98,2
2305,Electronics City Phase 1,1200.0,2.0,59.76,2
2306,Electronics City Phase 1,1145.0,2.0,54.0,2
2307,Electronics City Phase 1,1125.0,2.0,65.0,2
2308,Electronics City Phase 1,1550.0,2.0,82.0,3
2309,Electronics City Phase 1,1175.0,2.0,50.0,2
2310,Electronics City Phase 1,1245.0,2.0,75.0,2
2311,Electronics City Phase 1,865.0,2.0,40.0,2
2315,Electronics City Phase 1,1800.0,3.0,93.0,3
2316,Electronics City Phase 1,1314.0,2.0,60.0,2
2317,Electronics City Phase 1,1170.0,2.0,62.0,2
2318,Electronics City Phase 1,1450.0,3.0,79.0,3
2319,Electronics City Phase 1,940.0,2.0,48.0,2
2320,Electronics City Phase 1,940.0,2.0,44.0,2
2321,Electronics City Phase 1,1300.0,2.0,67.0,2
2322,Electronics City Phase 1,1000.0,2.0,28.0,2
2323,Electronics City Phase 1,1028.0,2.0,51.0,2
2324,Electronics City Phase 1,1080.0,2.0,46.0,2
2325,Electronics City Phase 1,891.0,2.0,24.95,2
2326,Electronics City Phase 1,1032.0,2.0,31.99,2
2327,Electronics City Phase 1,1205.0,2.0,60.0,2
2328,Electronics City Phase 1,891.0,2.0,26.0,2
2330,Electronics City Phase 1,1305.0,2.0,67.0,2
2331,Electronics City Phase 1,755.0,1.0,30.12,1
2332,Electronics City Phase 1,1175.0,2.0,60.0,2
2333,Electronics City Phase 1,1700.0,3.0,111.0,3
2334,Frazer Town,1700.0,3.0,180.0,3
2335,Frazer Town,1870.0,3.0,185.0,3
2336,Frazer Town,1750.0,3.0,150.0,3
2337,Frazer Town,4850.0,6.0,385.0,4
2338,Frazer Town,2000.0,3.0,200.0,3
2339,Frazer Town,3500.0,4.0,330.0,3
2340,Frazer Town,2350.0,4.0,285.0,3
2341,Frazer Town,1550.0,2.0,140.0,2
2342,Frazer Town,1900.0,4.0,145.0,3
2343,Frazer Town,2560.0,3.0,265.0,3
2344,Frazer Town,2400.0,3.0,260.0,3
2345,Frazer Town,2560.0,3.0,288.0,3
2346,Frazer Town,3436.0,5.0,341.0,4
2347,Frazer Town,1315.0,2.0,140.0,2
2348,Frazer Town,1706.0,3.0,154.0,3
2349,Frazer Town,2079.0,3.0,220.0,3
2350,Frazer Town,3435.0,2.0,341.0,4
2351,Frazer Town,3436.0,5.0,345.0,4
2352,Frazer Town,560.0,1.0,90.0,1
2353,Frazer Town,5400.0,3.0,400.0,3
2354,Frazer Town,1180.0,2.0,105.0,2
2355,Frazer Town,2900.0,4.0,325.0,4
2356,Frazer Town,2214.0,3.0,350.0,3
2357,Frazer Town,1870.0,3.0,180.0,3
2358,Frazer Town,896.0,1.0,100.0,1
2359,Frazer Town,1420.0,2.0,120.0,2
2360,GM Palaya,1820.0,2.0,86.0,3
2361,GM Palaya,1000.0,2.0,36.0,2
2362,GM Palaya,1225.0,2.0,47.0,2
2363,GM Palaya,1140.0,2.0,48.95,2
2364,GM Palaya,1315.0,2.0,65.0,3
2365,GM Palaya,1000.0,2.0,35.0,2
2366,GM Palaya,1315.0,3.0,65.0,3
2367,GM Palaya,1315.0,3.0,64.0,3
2368,GM Palaya,1735.0,3.0,70.0,3
2369,GM Palaya,1643.0,2.0,70.0,3
2371,Garudachar Palya,1060.0,2.0,48.7,2
2372,Garudachar Palya,1960.0,3.0,160.0,3
2373,Garudachar Palya,1150.0,2.0,52.75,2
2377,Garudachar Palya,1150.0,2.0,52.8,2
2378,Garudachar Palya,1150.0,2.0,52.8,2
2379,Garudachar Palya,1060.0,2.0,48.5,2
2380,Garudachar Palya,1150.0,2.0,52.5,2
2382,Garudachar Palya,1060.0,2.0,48.66,2
2383,Garudachar Palya,1150.0,2.0,52.0,2
2384,Garudachar Palya,1610.0,2.0,119.0,3
2385,Garudachar Palya,1154.0,2.0,51.8,2
2387,Giri Nagar,2400.0,4.0,400.0,4
2388,Giri Nagar,1800.0,3.0,252.0,3
2389,Giri Nagar,4500.0,5.0,250.0,7
2390,Giri Nagar,1350.0,3.0,240.0,3
2391,Giri Nagar,2400.0,4.0,400.0,4
2392,Giri Nagar,3000.0,4.0,375.0,6
2393,Giri Nagar,2400.0,6.0,400.0,6
2394,Giri Nagar,600.0,1.0,125.0,1
2395,Gollarapalya Hosahalli,1408.0,3.0,62.0,3
2396,Gollarapalya Hosahalli,1318.0,3.0,54.0,3
2397,Gollarapalya Hosahalli,1320.0,3.0,60.0,3
2398,Gollarapalya Hosahalli,1345.0,3.0,60.0,3
2399,Gollarapalya Hosahalli,1905.0,3.0,86.0,4
2400,Gollarapalya Hosahalli,996.0,2.0,36.5,2
2401,Gollarapalya Hosahalli,1318.0,3.0,56.0,3
2402,Gollarapalya Hosahalli,1129.0,2.0,50.0,2
2403,Gottigere,1100.0,2.0,40.0,2
2404,Gottigere,967.0,2.0,45.0,2
2405,Gottigere,891.0,2.0,25.0,2
2406,Gottigere,1618.0,3.0,82.5,3
2407,Gottigere,1222.0,2.0,63.0,2
2408,Gottigere,1300.0,3.0,65.0,3
2409,Gottigere,950.0,2.0,38.0,2
2410,Gottigere,1153.0,2.0,48.5,2
2411,Gottigere,812.0,1.0,26.0,1
2416,Gottigere,1304.0,3.0,80.0,3
2417,Gottigere,812.0,1.0,26.0,1
2418,Gottigere,990.0,2.0,40.0,2
2419,Gottigere,1235.0,2.0,63.0,2
2421,Gottigere,1000.0,2.0,35.0,2
2422,Gottigere,1010.0,2.0,35.0,2
2424,Gottigere,945.0,2.0,45.0,2
2426,Gottigere,1120.0,2.0,50.0,2
2428,Gottigere,1200.0,2.0,40.0,2
2429,Gottigere,1280.0,2.0,61.0,2
2430,Gottigere,1205.0,2.0,56.58,2
2431,Gottigere,1170.0,2.0,40.0,2
2433,Gottigere,1493.0,2.0,90.0,3
2434,Gottigere,1110.0,2.0,36.25,2
2435,Gottigere,1245.0,2.0,59.0,2
2436,Gottigere,1200.0,2.0,50.0,2
2437,Green Glen Layout,1575.0,3.0,125.0,3
2438,Green Glen Layout,1670.0,3.0,120.0,3
2439,Green Glen Layout,1776.42,3.0,105.0,3
2440,Green Glen Layout,940.0,2.0,56.8,2
2441,Green Glen Layout,1725.0,3.0,130.0,3
2442,Green Glen Layout,1075.0,2.0,60.0,2
2443,Green Glen Layout,1485.0,3.0,115.0,3
2444,Green Glen Layout,1715.0,3.0,115.0,3
2445,Green Glen Layout,1751.0,2.0,115.0,3
2446,Green Glen Layout,1750.0,3.0,130.0,3
2447,Green Glen Layout,1530.0,3.0,105.0,3
2448,Green Glen Layout,1752.0,3.0,105.0,3
2449,Green Glen Layout,1680.0,4.0,95.0,3
2450,Green Glen Layout,1728.0,3.0,125.0,3
2451,Green Glen Layout,1645.0,3.0,110.0,3
2452,Green Glen Layout,1517.0,3.0,100.0,3
2453,Green Glen Layout,1750.0,3.0,120.0,3
2454,Green Glen Layout,1751.0,3.0,115.0,3
2455,Green Glen Layout,1750.0,3.0,105.0,3
2456,Green Glen Layout,1885.0,3.0,135.0,3
2457,Green Glen Layout,1715.0,3.0,120.0,3
2458,Green Glen Layout,1623.29,2.0,105.0,3
2459,Green Glen Layout,1715.0,3.0,115.0,3
2460,Green Glen Layout,1715.0,3.0,105.0,3
2461,Green Glen Layout,1600.0,3.0,105.0,3
2462,Green Glen Layout,1717.0,3.0,125.0,3
2463,Green Glen Layout,1250.0,2.0,75.0,2
2464,Green Glen Layout,1715.0,3.0,112.0,3
